iteracija,zavrsetak_projekta,prekoracen_rok,T1_ucinak,T1_A1.2_ucinak,T2_ucinak,T3_ucinak,T3_A4.1_ucinak,T4_ucinak,T4_A4.1_ucinak,T5_ucinak,T5_A3.2_ucinak,T6_ucinak,T7_ucinak,T8_ucinak,T8_A3.1_ucinak,T8_A3.2_ucinak,T8_A4.1_ucinak,T8_A5.1_ucinak,T8_A5.2_ucinak,T9_ucinak,T9_A3.1_ucinak,P1_ucinak,P1_A5.2_ucinak
26,36.892180005301526,1,1.6069988528578292,0.32373877440558674,0.0,2.8426788017811613,0.8855556644761862,0.0,0.0,0.0,0.0,0.29119251346080854,0.8921800053015241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,36.7780400581957,1,1.4535988474229895,0.8354499660121735,0.0,0.0,0.0,0.0,0.0,1.7780400581956988,0.40304636509831937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.68453670494919,-0.2076219747641449
28,36.0,0,1.340346337781678,0.9138419727303699,0.0,2.4827175014405514,0.6782215298024493,0.0,0.0,0.0,0.0,0.4193009578238171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,36.185732486606874,1,0.0,0.0,0.0,3.4309189173312564,0.9754019082692438,0.0,0.0,0.0,0.0,0.0,0.0,0.2282477490884516,0.25587593128508734,0.27068988890208484,0.18457571502425907,0.2157992270581999,0.2667559731407716,0.0,0.0,-0.618058028149217,-0.30885322849136665
30,38.46433594680189,1,1.0582859585537898,0.45200333847657165,0.0,1.3289065259797852,1.0659764811501216,0.0,0.0,2.398359465651763,0.5964711443551656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,35.6857781566804,0,0.0,0.0,0.0,0.0,0.0,1.1450782883270172,0.6857781566803998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7530554432254088,-0.27508704939853357
32,39.31592700510079,1,0.7324744293566666,0.7565815416608648,1.3375730358208409,1.7204049802540107,0.9852010174674946,0.0,0.0,2.9816879393447797,0.768063605357976,0.4690982221663343,0.0,0.20479539366268826,0.43552456351522106,0.47870322227105033,0.34903804828851265,0.2763410076870284,0.3835508313134788,0.0,0.0,-0.63303029821225,-0.12537042960890837
33,35.49521150746847,0,1.155981312085385,0.4252237699298542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21805148199356245,0.25353960071482473,0.1693033694618891,0.34358074696340746,0.3085670816438008,0.31786357932475323,0.0,0.0,-0.8133555741753337,-0.1517585291373
34,37.114977766298736,1,0.9680218987781408,0.562763311695593,0.0,0.0,0.0,0.9274933806993801,0.7578133865919773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0505514394054085,1.1689110474158124,-0.7585037836377037,-0.2725296741522741
35,35.474913476316395,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5250865236836059,-0.4090811749700185
36,37.5969688140836,1,0.0,0.0,0.0,1.7581616113917267,0.6364454061114899,0.0,0.0,1.960523407972111,0.6119651392389482,0.5500145439276543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
